2018-10-18 11:10:06.521 INFO  1202 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Starting ExcelImageHandlerApplication v1.0.0-SNAPSHOT on jason-RC420-RC520-RC720 with PID 11346 (/home/jason/app/ExcelImageHandler/target/ExcelImageHandler-1.0.0-SNAPSHOT.jar started by jason in /home/jason/app/ExcelImageHandler)
2018-10-18 11:10:06.526 INFO  1207 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - No active profile set, falling back to default profiles: default
2018-10-18 11:10:06.627 INFO  1308 --- [ main ] o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3339ad8e: startup date [Thu Oct 18 11:10:06 KST 2018]; root of context hierarchy
2018-10-18 11:10:08.871 INFO  3552 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-10-18 11:10:08.875 INFO  3556 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-10-18 11:10:08.883 INFO  3564 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-10-18 11:10:08.908 INFO  3589 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Started ExcelImageHandlerApplication in 3.024 seconds (JVM running for 3.943)
2018-10-18 11:10:08.960 INFO  3641 --- [ main ] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2018-10-18 11:10:09.209 INFO  3890 --- [ main ] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2018-10-18 11:10:09.286 INFO  3967 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518821: 서울 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.374 INFO  4055 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562480: 서울 시티투어 스카이버스 ] - INSERTED!! 
2018-10-18 11:10:09.394 INFO  4075 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518833: 인천 시티투어 야경투어 ] - SKIPPED!! 
2018-10-18 11:10:09.438 INFO  4119 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562483: 인천 시티투어 라인 코스 ] - INSERTED!! 
2018-10-18 11:10:09.480 INFO  4161 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562484: 인천 시티투어 강화도테마투어 ] - INSERTED!! 
2018-10-18 11:10:09.499 INFO  4180 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518896: 파주 시티투어 휴 당일 코스 ] - SKIPPED!! 
2018-10-18 11:10:09.541 INFO  4222 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2561097: 파주 시티투어 휴 1박2일 코스 ] - INSERTED!! 
2018-10-18 11:10:09.559 INFO  4240 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518897: 광명 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.577 INFO  4258 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518894: 성남 시티투어 ‘도시樂버스’ 정기 코스 ] - SKIPPED!! 
2018-10-18 11:10:09.621 INFO  4302 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562485: 성남 시티투어 ‘도시樂버스’ 특별 코스 ] - INSERTED!! 
2018-10-18 11:10:09.638 INFO  4319 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518883: 광주 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.655 INFO  4336 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518882: 고양 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.671 INFO  4352 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518874: 평택 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.689 INFO  4370 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518866: 뻔뻔 부천 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.707 INFO  4388 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518867: 가평 관광지순환버스 ] - SKIPPED!! 
2018-10-18 11:10:09.723 INFO  4404 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518861: 남양주 시티투어 정기 코스 ] - SKIPPED!! 
2018-10-18 11:10:09.766 INFO  4447 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2561758: 남양주 시티투어 수시 코스 ] - INSERTED!! 
2018-10-18 11:10:09.785 INFO  4466 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518856: 화성시 시티투어 착한 여행 하루 ] - SKIPPED!! 
2018-10-18 11:10:09.803 INFO  4484 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518854: 양주 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.821 INFO  4502 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518849: 안성 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.839 INFO  4520 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518847: 안산 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.856 INFO  4537 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518827: 수원 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:09.895 INFO  4576 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2561115: 오산 시티투어 ] - INSERTED!! 
2018-10-18 11:10:09.937 INFO  4618 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2561125: 이천 시티투어 ] - INSERTED!! 
2018-10-18 11:10:09.981 INFO  4662 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2561136: 여주 시티투어 ] - INSERTED!! 
2018-10-18 11:10:10.000 INFO  4681 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518825: 사계절 DMZ 연천드리밍(Dreaming)투어 ] - SKIPPED!! 
2018-10-18 11:10:10.017 INFO  4698 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518873: 양구 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.036 INFO  4717 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518870: 태백 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.055 INFO  4736 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518869: 정선 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.074 INFO  4755 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518863: 화천 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.093 INFO  4774 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518855: 삼척 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.138 INFO  4819 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562645: 원주투어버스 ] - INSERTED!! 
2018-10-18 11:10:10.158 INFO  4839 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518857: 원주 시티투어 테마형 ] - SKIPPED!! 
2018-10-18 11:10:10.202 INFO  4883 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518893: 춘천 시티투어 ] - INSERTED!! 
2018-10-18 11:10:10.248 INFO  4929 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562486: 평창 시티투어 ] - INSERTED!! 
2018-10-18 11:10:10.267 INFO  4948 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518892: 세종 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.310 INFO  4991 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2562487: 세종-공주 시티투어 ] - INSERTED!! 
2018-10-18 11:10:10.329 INFO  5010 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518887: 대전 시티투어 광역 코스 ] - SKIPPED!! 
2018-10-18 11:10:10.350 INFO  5031 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518832: 대전 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.376 INFO  5057 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518899: 온양온천 시티투어 ] - SKIPPED!! 
2018-10-18 11:10:10.393 INFO  5074 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518842: 천안 시티투어 정규 코스 ] - SKIPPED!! 
2018-10-18 11:10:10.412 INFO  5093 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518895: 천안 시티투어 테마 코스 ] - SKIPPED!! 
2018-10-18 11:10:10.431 INFO  5112 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Handle Item [ 2518877: 태안 시티투어 ] - SKIPPED!! 
