2018-10-19 10:57:32.494 INFO  1014 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Starting ExcelImageHandlerApplication v1.0.0-SNAPSHOT on jason-RC420-RC520-RC720 with PID 4218 (/home/jason/app/ExcelImageHandler/target/ExcelImageHandler-1.0.0-SNAPSHOT.jar started by jason in /home/jason/app/ExcelImageHandler)
2018-10-19 10:57:32.500 INFO  1020 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - No active profile set, falling back to default profiles: default
2018-10-19 10:57:32.598 INFO  1118 --- [ main ] o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6c629d6e: startup date [Fri Oct 19 10:57:32 KST 2018]; root of context hierarchy
2018-10-19 10:57:34.507 INFO  3027 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-10-19 10:57:34.509 INFO  3029 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-10-19 10:57:34.517 INFO  3037 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-10-19 10:57:34.550 INFO  3070 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - Started ExcelImageHandlerApplication in 2.586 seconds (JVM running for 3.413)
2018-10-19 10:57:34.973 INFO  3493 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - ExcelImage(contentId: 2508605, title: 고성DMZ, url: http://tong.visitkorea.or.kr/cms/resource/38/2508538_image2_1.jpg, isMain: true)
2018-10-19 10:57:34.974 INFO  3494 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - ExcelImage(contentId: 2508605, title: 고성DMZ, url: http://tong.visitkorea.or.kr/cms/resource/37/2508537_image2_1.jpg, isMain: false)
2018-10-19 10:57:34.974 INFO  3494 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - ExcelImage(contentId: 2508605, title: 고성DMZ, url: http://tong.visitkorea.or.kr/cms/resource/36/2508536_image2_1.jpg, isMain: false)
2018-10-19 10:57:34.974 INFO  3494 --- [ main ] k.c.u.k.b.ExcelImageHandlerApplication - ExcelImage(contentId: 2508605, title: 고성DMZ, url: http://tong.visitkorea.or.kr/cms/resource/35/2508535_image2_1.jpg, isMain: false)
